product_position,product_name,product_permalink,image_number,source_url,source_width,source_height,folder,local_path,bytes,download_status,error
37,Hypno Ghoul Head - by Mr. Evil and Simian & Sons  - EINP,hypno-ghoul-head-by-mr-evil-and-simian-sons-def,1,https://assets.bigcartel.com/product_images/263902013/einp.png,1038,576,products/037_hypno-ghoul-head-by-mr-evil-and-simian-sons-def,products/037_hypno-ghoul-head-by-mr-evil-and-simian-sons-def/images/01.png,319518,OK,
37,Hypno Ghoul Head - by Mr. Evil and Simian & Sons  - EINP,hypno-ghoul-head-by-mr-evil-and-simian-sons-def,2,https://assets.bigcartel.com/product_images/262221614/titl.png,1000,507,products/037_hypno-ghoul-head-by-mr-evil-and-simian-sons-def,products/037_hypno-ghoul-head-by-mr-evil-and-simian-sons-def/images/02.png,323088,OK,
37,Hypno Ghoul Head - by Mr. Evil and Simian & Sons  - EINP,hypno-ghoul-head-by-mr-evil-and-simian-sons-def,3,https://assets.bigcartel.com/product_images/262221143/IMG_20200517_195011.jpg,3024,4032,products/037_hypno-ghoul-head-by-mr-evil-and-simian-sons-def,products/037_hypno-ghoul-head-by-mr-evil-and-simian-sons-def/images/03.jpg,140565,OK,
37,Hypno Ghoul Head - by Mr. Evil and Simian & Sons  - EINP,hypno-ghoul-head-by-mr-evil-and-simian-sons-def,4,https://assets.bigcartel.com/product_images/262221140/IMG_20200517_194948.jpg,3024,4032,products/037_hypno-ghoul-head-by-mr-evil-and-simian-sons-def,products/037_hypno-ghoul-head-by-mr-evil-and-simian-sons-def/images/04.jpg,196342,OK,
38,The Accomplice Hand - The Bad One 6 & 7,the-accomplice-hand-the-bad-one-6-7,1,https://assets.bigcartel.com/product_images/302574642/6b.png,3024,4032,products/038_the-accomplice-hand-the-bad-one-6-7,products/038_the-accomplice-hand-the-bad-one-6-7/images/01.png,784937,OK,
38,The Accomplice Hand - The Bad One 6 & 7,the-accomplice-hand-the-bad-one-6-7,2,https://assets.bigcartel.com/product_images/302574645/6.png,3024,4032,products/038_the-accomplice-hand-the-bad-one-6-7,products/038_the-accomplice-hand-the-bad-one-6-7/images/02.png,770761,OK,
38,The Accomplice Hand - The Bad One 6 & 7,the-accomplice-hand-the-bad-one-6-7,3,https://assets.bigcartel.com/product_images/302574780/7.png,3024,4032,products/038_the-accomplice-hand-the-bad-one-6-7,products/038_the-accomplice-hand-the-bad-one-6-7/images/03.png,836441,OK,
38,The Accomplice Hand - The Bad One 6 & 7,the-accomplice-hand-the-bad-one-6-7,4,https://assets.bigcartel.com/product_images/302574783/7b.png,3024,4032,products/038_the-accomplice-hand-the-bad-one-6-7,products/038_the-accomplice-hand-the-bad-one-6-7/images/04.png,829979,OK,
39,Weird Wendys,weird-wendys,1,https://assets.bigcartel.com/product_images/302576652/PXL_20210418_181130766.jpg,3024,4032,products/039_weird-wendys,products/039_weird-wendys/images/01.jpg,355905,OK,
39,Weird Wendys,weird-wendys,2,https://assets.bigcartel.com/product_images/302576649/PXL_20210418_181146910.jpg,3024,4032,products/039_weird-wendys,products/039_weird-wendys/images/02.jpg,299994,OK,
39,Weird Wendys,weird-wendys,3,https://assets.bigcartel.com/product_images/302576832/PXL_20210418_181108034.jpg,3024,4032,products/039_weird-wendys,products/039_weird-wendys/images/03.jpg,277283,OK,
39,Weird Wendys,weird-wendys,4,https://assets.bigcartel.com/product_images/302577822/PXL_20210418_181030767.jpg,3024,4032,products/039_weird-wendys,products/039_weird-wendys/images/04.jpg,259967,OK,
39,Weird Wendys,weird-wendys,5,https://assets.bigcartel.com/product_images/302577819/PXL_20210418_181041100.jpg,3024,4032,products/039_weird-wendys,products/039_weird-wendys/images/05.jpg,306106,OK,
40,Inter-Dimensional Beast,inter-dimensional-beast,1,https://assets.bigcartel.com/product_images/308908779/PXL_20210615_170106522.jpg,3024,4032,products/040_inter-dimensional-beast,products/040_inter-dimensional-beast/images/01.jpg,390521,OK,
40,Inter-Dimensional Beast,inter-dimensional-beast,2,https://assets.bigcartel.com/product_images/308908839/PXL_20210615_150507273.jpg,2747,3634,products/040_inter-dimensional-beast,products/040_inter-dimensional-beast/images/02.jpg,274105,OK,
40,Inter-Dimensional Beast,inter-dimensional-beast,3,https://assets.bigcartel.com/product_images/308908836/PXL_20210615_150525748.jpg,2943,3788,products/040_inter-dimensional-beast,products/040_inter-dimensional-beast/images/03.jpg,321613,OK,
40,Inter-Dimensional Beast,inter-dimensional-beast,4,https://assets.bigcartel.com/product_images/308908773/PXL_20210615_165537129.MP.jpg,2052,2561,products/040_inter-dimensional-beast,products/040_inter-dimensional-beast/images/04.jpg,136867,OK,
40,Inter-Dimensional Beast,inter-dimensional-beast,5,https://assets.bigcartel.com/product_images/308908776/PXL_20210615_165408712.jpg,3024,4032,products/040_inter-dimensional-beast,products/040_inter-dimensional-beast/images/05.jpg,123030,OK,
41,"The Accomplice Hand - The Good One # 1, #2 & #3",the-accomplice-hand,1,https://assets.bigcartel.com/product_images/302573961/1.png,3024,4032,products/041_the-accomplice-hand,products/041_the-accomplice-hand/images/01.png,793106,OK,
41,"The Accomplice Hand - The Good One # 1, #2 & #3",the-accomplice-hand,2,https://assets.bigcartel.com/product_images/302574027/2.png,3024,4032,products/041_the-accomplice-hand,products/041_the-accomplice-hand/images/02.png,833343,OK,
41,"The Accomplice Hand - The Good One # 1, #2 & #3",the-accomplice-hand,3,https://assets.bigcartel.com/product_images/302574120/3.png,3024,4032,products/041_the-accomplice-hand,products/041_the-accomplice-hand/images/03.png,784412,OK,
41,"The Accomplice Hand - The Good One # 1, #2 & #3",the-accomplice-hand,4,https://assets.bigcartel.com/product_images/302588622/hand.jpg,1299,1480,products/041_the-accomplice-hand,products/041_the-accomplice-hand/images/04.jpg,480291,OK,
42,Route 1 Saugus Mini-Golf Dino,route-1-saugus-mini-golf-dino,1,https://assets.bigcartel.com/product_images/312143655/PXL_20210731_194029559.jpg,3024,2945,products/042_route-1-saugus-mini-golf-dino,products/042_route-1-saugus-mini-golf-dino/images/01.jpg,363006,OK,
42,Route 1 Saugus Mini-Golf Dino,route-1-saugus-mini-golf-dino,2,https://assets.bigcartel.com/product_images/312143658/PXL_20210731_193957433.jpg,3024,2607,products/042_route-1-saugus-mini-golf-dino,products/042_route-1-saugus-mini-golf-dino/images/02.jpg,369349,OK,
42,Route 1 Saugus Mini-Golf Dino,route-1-saugus-mini-golf-dino,3,https://assets.bigcartel.com/product_images/312144942/CQ5SNKTC6UI6LOFLXW4DXQBQBI.jpeg,1440,932,products/042_route-1-saugus-mini-golf-dino,products/042_route-1-saugus-mini-golf-dino/images/03.jpg,182029,OK,
43,LEGEND IN MY POCKET,legend-in-my-pocket,1,https://assets.bigcartel.com/product_images/308907174/PXL_20210615_003503064.MP.jpg,3024,4032,products/043_legend-in-my-pocket,products/043_legend-in-my-pocket/images/01.jpg,486795,OK,
43,LEGEND IN MY POCKET,legend-in-my-pocket,2,https://assets.bigcartel.com/product_images/308906571/PXL_20210623_160326995.jpg,4032,3024,products/043_legend-in-my-pocket,products/043_legend-in-my-pocket/images/02.jpg,243135,OK,
43,LEGEND IN MY POCKET,legend-in-my-pocket,3,https://assets.bigcartel.com/product_images/308880396/PXL_20210622_183240833.MP.jpg,3024,2233,products/043_legend-in-my-pocket,products/043_legend-in-my-pocket/images/03.jpg,141590,OK,
43,LEGEND IN MY POCKET,legend-in-my-pocket,4,https://assets.bigcartel.com/product_images/308907087/LIMPheader.png,750,1200,products/043_legend-in-my-pocket,products/043_legend-in-my-pocket/images/04.png,514547,OK,
43,LEGEND IN MY POCKET,legend-in-my-pocket,5,https://assets.bigcartel.com/product_images/308880381/PXL_20210531_133950908.jpg,3024,4032,products/043_legend-in-my-pocket,products/043_legend-in-my-pocket/images/05.jpg,312561,OK,
44,Resinsaurs,resinsaurs,1,https://assets.bigcartel.com/product_images/312143379/PXL_20210731_194852912.jpg,3024,3169,products/044_resinsaurs,products/044_resinsaurs/images/01.jpg,407858,OK,
44,Resinsaurs,resinsaurs,2,https://assets.bigcartel.com/product_images/312143382/PXL_20210731_194759624.jpg,3024,3430,products/044_resinsaurs,products/044_resinsaurs/images/02.jpg,480803,OK,
44,Resinsaurs,resinsaurs,3,https://assets.bigcartel.com/product_images/312143385/PXL_20210731_193634755.jpg,2969,2773,products/044_resinsaurs,products/044_resinsaurs/images/03.jpg,520933,OK,
44,Resinsaurs,resinsaurs,4,https://assets.bigcartel.com/product_images/312143388/PXL_20210731_193619024.jpg,3024,2999,products/044_resinsaurs,products/044_resinsaurs/images/04.jpg,462200,OK,
44,Resinsaurs,resinsaurs,5,https://assets.bigcartel.com/product_images/312143391/PXL_20210731_193608572.jpg,3024,2913,products/044_resinsaurs,products/044_resinsaurs/images/05.jpg,509000,OK,
45,Dinosaurs Have Been Eating My Toys,dinosaurs-have-been-eating-my-toys,1,https://assets.bigcartel.com/product_images/312143892/PXL_20210731_193757008.jpg,3024,2884,products/045_dinosaurs-have-been-eating-my-toys,products/045_dinosaurs-have-been-eating-my-toys/images/01.jpg,578862,OK,
45,Dinosaurs Have Been Eating My Toys,dinosaurs-have-been-eating-my-toys,2,https://assets.bigcartel.com/product_images/312143895/PXL_20210731_193739003.jpg,3024,3034,products/045_dinosaurs-have-been-eating-my-toys,products/045_dinosaurs-have-been-eating-my-toys/images/02.jpg,625683,OK,
45,Dinosaurs Have Been Eating My Toys,dinosaurs-have-been-eating-my-toys,3,https://assets.bigcartel.com/product_images/312143898/PXL_20210731_193510562.jpg,3024,2748,products/045_dinosaurs-have-been-eating-my-toys,products/045_dinosaurs-have-been-eating-my-toys/images/03.jpg,428873,OK,
45,Dinosaurs Have Been Eating My Toys,dinosaurs-have-been-eating-my-toys,4,https://assets.bigcartel.com/product_images/312143901/PXL_20210731_193538257.jpg,3024,3122,products/045_dinosaurs-have-been-eating-my-toys,products/045_dinosaurs-have-been-eating-my-toys/images/04.jpg,495818,OK,
46,One Spin of the Monkey Machine,one-spin-of-the-monkey-machine,1,https://assets.bigcartel.com/product_images/302580375/PXL_20210418_193557724.jpg,2939,3870,products/046_one-spin-of-the-monkey-machine,products/046_one-spin-of-the-monkey-machine/images/01.jpg,558365,OK,
46,One Spin of the Monkey Machine,one-spin-of-the-monkey-machine,2,https://assets.bigcartel.com/product_images/302581353/PXL_20210418_194812813.jpg,3024,4032,products/046_one-spin-of-the-monkey-machine,products/046_one-spin-of-the-monkey-machine/images/02.jpg,277004,OK,
46,One Spin of the Monkey Machine,one-spin-of-the-monkey-machine,3,https://assets.bigcartel.com/product_images/302581347/PXL_20210418_194847918.jpg,3632,2538,products/046_one-spin-of-the-monkey-machine,products/046_one-spin-of-the-monkey-machine/images/03.jpg,225037,OK,
46,One Spin of the Monkey Machine,one-spin-of-the-monkey-machine,4,https://assets.bigcartel.com/product_images/302581350/PXL_20210418_194938959.jpg,3024,3266,products/046_one-spin-of-the-monkey-machine,products/046_one-spin-of-the-monkey-machine/images/04.jpg,341586,OK,
46,One Spin of the Monkey Machine,one-spin-of-the-monkey-machine,5,https://assets.bigcartel.com/product_images/302581356/PXL_20210418_194915480.jpg,3024,3534,products/046_one-spin-of-the-monkey-machine,products/046_one-spin-of-the-monkey-machine/images/05.jpg,321742,OK,
47,Glo-Bones Wendy - Wendy 1 & Wendy 2,glo-bones-wendy,1,https://assets.bigcartel.com/product_images/302575905/w1b.png,3024,4032,products/047_glo-bones-wendy,products/047_glo-bones-wendy/images/01.png,827534,OK,
47,Glo-Bones Wendy - Wendy 1 & Wendy 2,glo-bones-wendy,2,https://assets.bigcartel.com/product_images/302575908/w1.png,3024,4032,products/047_glo-bones-wendy,products/047_glo-bones-wendy/images/02.png,1004034,OK,
47,Glo-Bones Wendy - Wendy 1 & Wendy 2,glo-bones-wendy,3,https://assets.bigcartel.com/product_images/302576124/w2.png,1000,1333,products/047_glo-bones-wendy,products/047_glo-bones-wendy/images/03.png,757378,OK,
47,Glo-Bones Wendy - Wendy 1 & Wendy 2,glo-bones-wendy,4,https://assets.bigcartel.com/product_images/302576121/w2b.png,1000,1333,products/047_glo-bones-wendy,products/047_glo-bones-wendy/images/04.png,765726,OK,
47,Glo-Bones Wendy - Wendy 1 & Wendy 2,glo-bones-wendy,5,https://assets.bigcartel.com/product_images/302588883/175000515_601599821237218_625219221809566932_n.jpg,1080,1080,products/047_glo-bones-wendy,products/047_glo-bones-wendy/images/05.jpg,241405,OK,
48,Glo-Bones Wendy - Wendy 3 ,glo-bones-wendy-wendy-3-wendy-4,1,https://assets.bigcartel.com/product_images/302576385/w3b.png,1000,1333,products/048_glo-bones-wendy-wendy-3-wendy-4,products/048_glo-bones-wendy-wendy-3-wendy-4/images/01.png,775240,OK,
48,Glo-Bones Wendy - Wendy 3 ,glo-bones-wendy-wendy-3-wendy-4,2,https://assets.bigcartel.com/product_images/302576382/w3.png,1000,1333,products/048_glo-bones-wendy-wendy-3-wendy-4,products/048_glo-bones-wendy-wendy-3-wendy-4/images/02.png,560377,OK,
48,Glo-Bones Wendy - Wendy 3 ,glo-bones-wendy-wendy-3-wendy-4,3,https://assets.bigcartel.com/product_images/302588886/175000515_601599821237218_625219221809566932_n.jpg,1080,1080,products/048_glo-bones-wendy-wendy-3-wendy-4,products/048_glo-bones-wendy-wendy-3-wendy-4/images/03.jpg,241405,OK,
49,Cycloptus the Unstoppable Titan,cycloptus-the-unstoppable-terror,1,https://assets.bigcartel.com/product_images/288714891/Screen+Shot+2020-12-10+at+4.03.04+PM.png,2322,1258,products/049_cycloptus-the-unstoppable-terror,products/049_cycloptus-the-unstoppable-terror/images/01.png,555620,OK,
49,Cycloptus the Unstoppable Titan,cycloptus-the-unstoppable-terror,2,https://assets.bigcartel.com/product_images/288715017/Screen+Shot+2020-12-10+at+4.03.49+PM.png,3354,1864,products/049_cycloptus-the-unstoppable-terror,products/049_cycloptus-the-unstoppable-terror/images/02.png,613024,OK,
49,Cycloptus the Unstoppable Titan,cycloptus-the-unstoppable-terror,3,https://assets.bigcartel.com/product_images/288714630/PXL_20201207_000133803+_1_.jpg,4032,3024,products/049_cycloptus-the-unstoppable-terror,products/049_cycloptus-the-unstoppable-terror/images/03.jpg,370514,OK,
